"id","station"
"349190625","ZAKOPANE"
"349190650","KASPROWY WIERCH"
"349200660","NOWY SĄCZ"
"349210670","KROSNO"
"349220695","PRZEMYŚL"
"349220690","LESKO"
"350200570","KIELCE-SUKÓW"
"350190566","KRAKÓW-BALICE"
"350220580","RZESZÓW-JASIONKA"
"350210585","SANDOMIERZ"
"350200575","TARNÓW"
"349190600","BIELSKO-BIAŁA"
"350190550","CZĘSTOCHOWA"
"350190560","KATOWICE"
"350180540","RACIBÓRZ"
"351160415","LEGNICA"
"351160418","LESZNO"
"351160424","WROCŁAW"
"351150405","ZGORZELEC"
"351150400","ZIELONA GÓRA"
"350150500","JELENIA GÓRA"
"350160520","KŁODZKO"
"350170530","OPOLE"
"350150510","ŚNIEŻKA"
"353200270","MŁAWA"
"352190360","PŁOCK"
"352220385","SIEDLCE"
"352230399","TERESPOL"
"352200375","WARSZAWA"
"351210488","KOZIENICE"
"351220495","LUBLIN-RADAWIEC"
"351190465","ŁÓDŹ"
"351190469","SULEJÓW"
"351230497","WŁODAWA"
"350230595","ZAMOŚĆ"
"353160230","PIŁA"
"353160215","SZCZECINEK"
"352150300","GORZÓW WIELKOPOLSKI"
"352180345","KOŁO"
"352160330","POZNAŃ"
"352140310","SŁUBICE"
"351180435","KALISZ"
"351180455","WIELUŃ"
"354180135","HEL"
"354150100","KOŁOBRZEG"
"354160105","KOSZALIN"
"354170125","LĘBORK"
"354170120","ŁEBA"
"354160115","USTKA"
"353170235","CHOJNICE"
"353150210","RESKO-SMÓLSKO"
"353140205","SZCZECIN"
"353140200","ŚWINOUJŚCIE"
"353180250","TORUŃ"
"354180155","GDAŃSK-ŚWIBNO"
"354190160","ELBLĄG-MILEJEWO"
"354210185","KĘTRZYN"
"354220195","SUWAŁKI"
"353210280","MIKOŁAJKI"
"353200272","OLSZTYN"
"353210285","OSTROŁĘKA"
"353230295","BIAŁYSTOK"
"354180131","ŻARNOWIEC"
"354180140","GDAŃSK-PORT PÓŁNOCNY"
"353170240","BYDGOSZCZ"
"354180150","GDAŃSK-RĘBIECHOWO"